Date;Time;Division;Position;Team;GamesPlayed;Won;Lost;PointsAgainst;PointsForth;DiffPoints
2021/10/29;18:20:53;División Atlántico;1;New York Knicks;5;4;1;579;542;37
2021/10/29;18:20:53;División Atlántico;2;Philadelphia 76ers;5;3;2;550;528;22
2021/10/29;18:20:53;División Atlántico;3;Toronto Raptors;5;2;3;519;495;24
2021/10/29;18:20:53;División Atlántico;4;Brooklyn Nets;5;2;3;510;543;-33
2021/10/29;18:20:53;División Atlántico;5;Boston Celtics;5;2;3;571;595;-24
2021/10/29;18:20:53;División Central;1;Chicago Bulls;5;4;1;533;494;39
2021/10/29;18:20:53;División Central;2;Milwaukee Bucks;5;3;2;570;574;-4
2021/10/29;18:20:53;División Central;3;Cleveland Cavaliers;5;3;2;525;516;9
2021/10/29;18:20:53;División Central;4;Indiana Pacers;5;1;4;567;586;-19
2021/10/29;18:20:53;División Central;5;Detroit Pistons;4;0;4;376;423;-47
2021/10/29;18:20:53;División Sureste;1;Charlotte Hornets;5;4;1;606;580;26
2021/10/29;18:20:53;División Sureste;2;Washington Wizards;5;4;1;561;539;22
2021/10/29;18:20:53;División Sureste;3;Miami Heat;4;3;1;441;380;61
2021/10/29;18:20:53;División Sureste;4;Atlanta Hawks;5;3;2;543;513;30
2021/10/29;18:20:53;División Sureste;5;Orlando Magic;5;1;4;504;575;-71
2021/10/29;18:20:53;División Noroeste;1;Utah Jazz;4;4;0;461;388;73
2021/10/29;18:20:53;División Noroeste;2;Minnesota Timberwolves;4;3;1;431;410;21
2021/10/29;18:20:53;División Noroeste;3;Denver Nuggets;4;2;2;409;415;-6
2021/10/29;18:20:53;División Noroeste;4;Portland Trail Blazers;4;2;2;457;441;16
2021/10/29;18:20:53;División Noroeste;5;Oklahoma City Thunder;5;1;4;501;567;-66
2021/10/29;18:20:53;División Pacífico;1;Golden State Warriors;5;4;1;562;536;26
2021/10/29;18:20:53;División Pacífico;2;Sacramento Kings;4;2;2;442;457;-15
2021/10/29;18:20:53;División Pacífico;3;Los Angeles Lakers;5;2;3;580;598;-18
2021/10/29;18:20:53;División Pacífico;4;Phoenix Suns;4;1;3;425;459;-34
2021/10/29;18:20:53;División Pacífico;5;Los Angeles Clippers;4;1;3;422;413;9
2021/10/29;18:20:53;División Suroeste;1;Dallas Mavericks;4;3;1;410;413;-3
2021/10/29;18:20:53;División Suroeste;2;Memphis Grizzlies;5;3;2;570;573;-3
2021/10/29;18:20:53;División Suroeste;3;New Orleans Pelicans;5;1;4;504;541;-37
2021/10/29;18:20:53;División Suroeste;4;Houston Rockets;5;1;4;524;560;-36
2021/10/29;18:20:53;División Suroeste;5;San Antonio Spurs;5;1;4;550;549;1
